7	14	6	9	8	5	1	12	3	11	2	16	4	10	13	15
12	8	13	5	7	15	14	3	4	6	9	10	11	1	16	2
4	15	10	2	13	16	11	6	1	7	12	5	8	9	3	14
1	3	11	16	2	9	4	10	8	14	13	15	7	5	6	12
6	10	1	13	14	2	3	9	15	4	16	12	5	7	8	11
15	5	9	3	10	13	16	11	2	8	7	14	6	12	1	4
14	4	16	8	1	12	7	15	11	5	6	3	10	2	9	13
2	11	12	7	5	4	6	8	9	1	10	13	16	15	14	3
13	7	5	1	12	6	2	14	16	15	3	11	9	8	4	10
8	6	4	15	16	10	13	5	7	12	14	9	2	3	11	1
11	16	14	12	4	3	9	7	10	2	1	8	15	13	5	6
3	9	2	10	15	11	8	1	6	13	5	4	12	14	7	16
16	12	3	6	11	14	15	13	5	10	8	7	1	4	2	9
9	2	7	14	6	8	12	4	13	16	15	1	3	11	10	5
5	13	8	4	3	1	10	2	12	9	11	6	14	16	15	7
10	1	15	11	9	7	5	16	14	3	4	2	13	6	12	8
